My	Irr	Irr
cousin	Irr	Irr
who	Irr	Irr
be	Irr	Irr
a	Irr	Irr
NYPD	Irr	Irr
Bronx	Irr	Irr
police	Irr	Irr
officer	Irr	Irr
test	P-Yes	P-Yes
positive	P-Yes	P-Yes
for	Irr	Irr
Coid-19	Irr	Irr
today	Irr	Irr
!	Irr	Irr
Please	Irr	Irr
send	Irr	Irr
him	Irr	Irr
and	Irr	Irr
his	Irr	Irr
family	Irr	Irr
(	Irr	Irr
wife	Irr	Irr
and	Irr	Irr
boy	Irr	Irr
)	Irr	Irr
all	Irr	Irr
the	Irr	Irr
prayer	Irr	Irr
and	Irr	Irr
love	Irr	Irr

Current	Irr	Irr
list	Irr	Irr
of	Irr	Irr
all	Irr	Irr
victim	Irr	Irr
(	Irr	Irr
ages/sex/location	Irr	Irr
not	Irr	Irr
name	Irr	Irr
)	Irr	Irr
that	Irr	Irr
have	Irr	Irr
die	D-No	D-No
in	Irr	Irr
Washington	Irr	Irr
state	Irr	Irr
from	Irr	Irr
covid19	Irr	Irr
a	Irr	Irr
of	Irr	Irr
/29/2020	Irr	Irr

:	Irr	Irr
A	Irr	Irr
-year-old	Irr	Irr
patient	Irr	Irr
from	Irr	Irr
Dumaguete	Irr	Irr
City	Irr	Irr
,	Irr	Irr
Negros	Irr	Irr
Oriental	Irr	Irr
test	P-Yes	P-Yes
positive	P-Yes	P-Yes
for	Irr	Irr
the	Irr	Irr
coronavirus	Irr	Irr
disease	Irr	Irr
(	Irr	Irr
COVID-19	Irr	Irr
)	Irr	Irr
,	Irr	Irr
the	Irr	Irr
provincial	Irr	Irr
government	Irr	Irr
confirm	Irr	Irr
on	Irr	Irr
Wednesday	Irr	Irr
,	Irr	Irr
March	Irr	Irr
.	Irr	Irr

A	Irr	Irr
beautiful	Irr	Irr
tribute	Irr	Irr
to	Irr	Irr
Manu	Irr	Irr
Dibango	Irr	Irr
,	Irr	Irr
who	Irr	Irr
die	D-Yes	D-No
last	Irr	Irr
week	Irr	Irr
of	Irr	Irr
complication	Irr	Irr
from	Irr	Irr
COVID-19	Irr	Irr
,	Irr	Irr
by	Irr	Irr
Tom	Irr	Irr
Schnabel	Irr	Irr
who	Irr	Irr
introduce	Irr	Irr
'world	Irr	Irr
music	Irr	Irr
'	Irr	Irr
to	Irr	Irr
American	Irr	Irr
audience	Irr	Irr
a	Irr	Irr
KCRWs	Irr	Irr
first	Irr	Irr
music	Irr	Irr
director	Irr	Irr
.	Irr	Irr
Check	Irr	Irr
out	Irr	Irr
his	Irr	Irr
solid	Irr	Irr
playlist	Irr	Irr
on	Irr	Irr
Spotify	Irr	Irr
.	Irr	Irr

ON	Irr	Irr
THE	Irr	Irr
TH	Irr	Irr
MY	Irr	Irr
CHEM	Irr	Irr
TEACHER	Irr	Irr
TESTED	Irr	Irr
POSITIVE	P-Yes	Irr
FOR	Irr	Irr
CORONATHAT	Irr	Irr
WAS	Irr	Irr
THE	Irr	Irr
SAME	Irr	Irr
FUCKING	Irr	Irr
DAY	Irr	Irr
I	Irr	Irr
WAS	Irr	Irr
IN	Irr	Irr
HER	Irr	Irr
CLASS	Irr	Irr

Live	Irr	Irr
update	Irr	Irr
:	Irr	Irr
Brazilian	Irr	Irr
official	Irr	Irr
who	Irr	Irr
meet	Irr	Irr
Trump	Irr	Irr
on	Irr	Irr
Saturday	Irr	Irr
at	Irr	Irr
Mar-a-Lago	Irr	Irr
test	P-Yes	P-Yes
positive	P-Yes	P-Yes
for	Irr	Irr
coronavirusHoly	Irr	Irr
shit	Irr	Irr

Governor	Irr	Irr
Lamont	Irr	Irr
announce	Irr	Irr
this	Irr	Irr
evening	Irr	Irr
that	Irr	Irr
more	Irr	Irr
Connecticut	Irr	Irr
resident	Irr	Irr
test	P-Yes	P-Yes
positive	P-Yes	P-Yes
for	Irr	Irr
COVID-19	Irr	Irr
and	Irr	Irr
a	Irr	Irr
fifth	Irr	Irr
person	Irr	Irr
have	Irr	Irr
die	D-Yes	D-No

Obituary	Irr	Irr
:	Irr	Irr
Michael	Irr	Irr
Sorkin	Irr	Irr
,	Irr	Irr
-2020	Irr	Irr
Michael	Irr	Irr
Sorkin	Irr	Irr
have	Irr	Irr
die	D-Yes	D-No
at	Irr	Irr
the	Irr	Irr
age	Irr	Irr
of	Irr	Irr
in	Irr	Irr
New	Irr	Irr
York	Irr	Irr
after	Irr	Irr
contract	Irr	Irr
coronavirus	Irr	Irr
.	Irr	Irr
Via	Irr	Irr
Architectural	Irr	Irr
Record	Irr	Irr

Even	Irr	Irr
if	Irr	Irr
Boris	Irr	Irr
Johnson	Irr	Irr
die	D-No	D-No
of	Irr	Irr
it	Irr	Irr
would	Irr	Irr
be	Irr	Irr
assume	Irr	Irr
he	Irr	Irr
